time_sec,band
36.6,10.0186
36.7,7.0055
36.8,6.5321
36.9,8.2458
37,7.2499
37.1,10.1664
37.2,7.1593
37.3,7.4428
37.4,7.3997
37.5,7.7765
37.6,8.199
37.7,7.4544
37.8,7.7184
37.9,7.2863
38,6.2128
38.1,7.7756
38.2,8.3171
38.3,7.3714
38.4,7.8057
38.5,7.7053
38.6,5.3167
38.7,5.6025
38.8,8.2113
38.9,7.9963
39,8.2236
39.1,7.7815
39.2,8.4072
39.3,7.2514
39.4,7.2853
39.5,8.7744
39.6,9.1566
39.7,6.9481
39.8,9.2523
39.9,8.3713
40,6.956
40.1,8.4365
40.2,7.693
40.3,8.7937
40.4,8.1163
40.5,7.3305
40.6,7.1891
40.7,7.4458
40.8,7.1279
40.9,4.4746
41,4.0478
41.1,3.5026
41.2,4.487
41.3,4.3684
41.4,3.6145
41.5,3.9974
41.6,3.6455
41.7,3.8919
41.8,3.6437
41.9,4.0592
42,4.3412
42.1,3.8163
42.2,3.9438
42.3,3.8191
42.4,3.8726
42.5,3.8831
42.6,4.0134
42.7,4.3074
42.8,3.7744
42.9,4.3733
43,3.957
43.1,3.6521
43.2,3.5309
43.3,4.3031
43.4,3.7186
43.5,3.6973
43.6,3.5113
43.7,5.9729
43.8,9.997
43.9,8.0348
44,9.0035
44.1,10.2262
44.2,7.2186
44.3,7.7281
44.4,7.9097
44.5,7.9605
44.6,9.1275
44.7,7.9583
44.8,8.2575
44.9,8.9676
45,8.6932
45.1,6.6387
45.2,8.7751
45.3,7.2582
45.4,9.0355
45.5,8.6838
45.6,8.4495
45.7,7.296
45.8,8.6693
45.9,7.0838
46,6.6381
46.1,8.8788
46.2,7.1272
46.3,9.5224
46.4,9.3155
46.5,7.3227
46.6,8.0895
46.7,7.539
46.8,8.4244
46.9,5.6155
47,6.3005
47.1,9.1418
47.2,8.69
47.3,7.7736
47.4,9.1085
47.5,8.0448
47.6,7.8324
47.7,8.6546
47.8,6.1369
47.9,6.8639
48,9.5493
48.1,7.3722
48.2,6.9787
48.3,6.839
48.4,7.9582
